Added By,Model,Method Used,Test Dataset,Source,Notes,Accuracy,Domain,Abrivation
Aren golazizian,T5-780M,SFT on Ab-Train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","perfect on Ab-test, but large drops on De-test & In-test.",100,Abduction,
Aren golazizian,T5-780M,SFT on Complement-train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","Complement-train = Training on the other two reasoning types (not the test type)
Complement-train produces much more balanced performance",55.7,Abduction,
Aren golazizian,T5-3B,SFT on Ab-Train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","perfect on Ab-test, but large drops on De-test & In-test.",100,Abduction,
Aren golazizian,T5-3B,SFT on Complement-train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","Complement-train = Training on the other two reasoning types (not the test type)
Complement-train produces much more balanced performance",59.2,Abduction,
Aren golazizian,T5-3B,SFT on Ab-Train (UniADILR-PSy),UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,53.4,Abduction,
Aren golazizian,LLaMA2-7B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,0.6,Abduction,
Aren golazizian,LLaMA2-7B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,0.8,Abduction,
Aren golazizian,LLaMA2-7B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,0.4,Abduction,
Aren golazizian,LLaMA2-13B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,0.8,Abduction,
Aren golazizian,LLaMA2-13B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,1.2,Abduction,
Aren golazizian,LLaMA2-13B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,1.2,Abduction,
Aren golazizian,LLaMA2-70B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,4.5,Abduction,
Aren golazizian,LLaMA2-70B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,4,Abduction,
Aren golazizian,LLaMA2-70B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,0.5,Abduction,
Aren golazizian,LLaMA2-70B,0-shot prompting,UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,8.3,Abduction,
Aren golazizian,GPT-3.5,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,3.5,Abduction,
Aren golazizian,GPT-3.5,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Improvement in Inductive and Deductive but Abductive is the same,3.5,Abduction,
Aren golazizian,GPT-3.5,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,3,Abduction,
Aren golazizian,GPT-3.5,0-shot prompting,UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,42.5,Abduction,
Aren golazizian,GPT-4,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,18.9,Abduction,
Aren golazizian,GPT-4,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Improvement in all reasoning types but abductive is still the lowest,28.5,Abduction,
Aren golazizian,GPT-4,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Significant drops in abductive and deductive,11.9,Abduction,
Aren golazizian,T5-780M,SFT on Ab-Train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","perfect on Ab-test, but large drops on De-test & In-test.",32.3,Deduction,
Aren golazizian,T5-780M,SFT on Complement-train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","Complement-train = Training on the other two reasoning types (not the test type)
Complement-train produces much more balanced performance",60.8,Deduction,
Aren golazizian,T5-3B,SFT on Ab-Train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","perfect on Ab-test, but large drops on De-test & In-test.",66.9,Deduction,
Aren golazizian,T5-3B,SFT on Complement-train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","Complement-train = Training on the other two reasoning types (not the test type)
Complement-train produces much more balanced performance",53.3,Deduction,
Aren golazizian,T5-3B,SFT on Ab-Train (UniADILR-PSy),UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,59.4,Deduction,
Aren golazizian,LLaMA2-7B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,3.9,Deduction,
Aren golazizian,LLaMA2-7B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,2.1,Deduction,
Aren golazizian,LLaMA2-7B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,3.3,Deduction,
Aren golazizian,LLaMA2-13B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,7.2,Deduction,
